gene	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KO	BiGG_Reactions	Annotation_tax_scope	Matching_Ogs	best_OG|evalue|score	COG_functional_categories	eggNOG_HMM_model_annotation
augustus_masked-NW_019167827.1-processed-gene-68.7-mRNA-1	3847.GLYMA09G27630.4	2.3e-31	97.5		GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464			virNOG[6]	0J1FA@euNOG,114KF@NOG,1BU93@strNOG,1E65V@virNOG	1E65V|9.9e-35|121.1	K	Transcription factor
augustus_masked-NW_019167827.1-processed-gene-69.1-mRNA-1	29760.VIT_16s0022g02170.t01	0.0	1673.5			K01206		virNOG[6]	1BH7D@strNOG,1DV3I@virNOG,COG3669@NOG,KOG3340@euNOG	1DV3I|4.3e-257|854.3	G	Alpha-l-fucosidase
augustus_masked-NW_019167827.1-processed-gene-69.4-mRNA-1	3694.POPTR_0015s14110.1	0.0	1505.3		GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005575,GO:0005618,GO:0005623,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0030312,GO:0044464,GO:0070011,GO:0071944			virNOG[6]	0IEMN@euNOG,1BEU3@strNOG,1DSRQ@virNOG,COG1404@NOG	1DSRQ|0.0|1234.5	O	subtilisin-like
augustus_masked-NW_019167827.1-processed-gene-69.0-mRNA-1	3694.POPTR_0015s14080.1	4.5e-243	796.6		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944			virNOG[6]	1BQNS@strNOG,1E2GQ@virNOG,COG0515@NOG,KOG1187@euNOG	1E2GQ|1.3e-264|880.6	T	STYKc
augustus_masked-NW_019167827.1-processed-gene-69.8-mRNA-1	3847.GLYMA09G31190.1	1.7e-236	774.2					virNOG[6]	0Z7Z7@NOG,1BP3H@strNOG,1E0Y4@virNOG,KOG4197@euNOG	1E0Y4|1.7e-270|899.0	S	Pentatricopeptide repeat-containing protein
augustus_masked-NW_019167827.1-processed-gene-69.7-mRNA-1	29760.VIT_16s0022g02140.t01	1,00E-214	704.4					virNOG[6]	1BH65@strNOG,1DV2E@virNOG,COG2124@NOG,KOG0157@euNOG	1DV2E|6.6e-190|633.2	Q	cytochrome P450
augustus_masked-NW_019167827.1-processed-gene-69.9-mRNA-1	29760.VIT_16s0022g02120.t01	4.1e-202	662.3					virNOG[6]	1BBQH@strNOG,1DPP9@virNOG,COG0501@NOG,KOG2661@euNOG	1DPP9|2.7e-183|611.0	O	Peptidase family M48
augustus_masked-NW_019167827.1-processed-gene-69.2-mRNA-1	59689.fgenesh2_kg.8__1058__AT5G51760.1	2.9e-57	183.1		GO:0008150,GO:0009719,GO:0009725,GO:0009737,GO:0010033,GO:0033993,GO:0042221,GO:0050896,GO:0097305,GO:1901700	K14497		virNOG[6]	0C3PD@braNOG,1BQNJ@strNOG,1E2GF@virNOG,COG0631@NOG,KOG0698@euNOG	1E2GF|4.4e-72|244.1	T	protein phosphatase 2C 75-like
augustus_masked-NW_019167827.1-processed-gene-70.9-mRNA-1	3694.POPTR_0015s14350.1	0.0	1118.1		GO:0000226,GO:0000280,GO:0000910,GO:0000911,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005856,GO:0005874,GO:0005881,GO:0005938,GO:0006461,GO:0006996,GO:0007010,GO:0007017,GO:0007049,GO:0007610,GO:0007631,GO:0008017,GO:0008092,GO:0008150,GO:0009524,GO:0009574,GO:0009607,GO:0009624,GO:0009653,GO:0009987,GO:0015630,GO:0015631,GO:0016043,GO:0022402,GO:0022607,GO:0030863,GO:0030981,GO:0031109,GO:0032502,GO:0032991,GO:0034622,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043234,GO:0043623,GO:0043933,GO:0044002,GO:0044085,GO:0044111,GO:0044115,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0044699,GO:0044763,GO:0046785,GO:0048285,GO:0048646,GO:0048856,GO:0050896,GO:0051258,GO:0051301,GO:0051701,GO:0051704,GO:0051707,GO:0051816,GO:0052093,GO:0052095,GO:0052096,GO:0055028,GO:0065003,GO:0070271,GO:0071822,GO:0071840,GO:0071944	K16732		virNOG[6]	0YZBK@NOG,1BJ10@strNOG,1DWYE@virNOG,KOG4302@euNOG	1DWYE|0.0|1115.9	Z	microtubule-associated protein
augustus_masked-NW_019167827.1-processed-gene-70.4-mRNA-1	29760.VIT_16s0022g02030.t01	1.1e-302	996.4		GO:0000003,GO:0003006,GO:0005575,GO:0007275,GO:0008150,GO:0008544,GO:0009553,GO:0009653,GO:0009791,GO:0009886,GO:0009888,GO:0009908,GO:0010016,GO:0010103,GO:0010374,GO:0016020,GO:0022414,GO:0032501,GO:0032502,GO:0035670,GO:0043588,GO:0044699,GO:0044707,GO:0044767,GO:0048229,GO:0048367,GO:0048437,GO:0048438,GO:0048440,GO:0048467,GO:0048481,GO:0048513,GO:0048569,GO:0048608,GO:0048731,GO:0048827,GO:0048856,GO:0061458			virNOG[6]	0IFET@euNOG,1BIDY@strNOG,1DWAQ@virNOG,COG0515@NOG,COG4886@NOG	1DWAQ|1.9e-296|987.0	T	LRR receptor-like serine threonine-protein kinase
augustus_masked-NW_019167827.1-processed-gene-70.2-mRNA-1	3694.POPTR_0012s14240.1	8.4e-278	913.7	KEA1	GO:0005575,GO:0016020			virNOG[6]	1BFPN@strNOG,1DTMJ@virNOG,COG0475@NOG,KOG1650@euNOG	1DTMJ|8.7e-250|831.3	P	) efflux antiporter
augustus_masked-NW_019167827.1-processed-gene-70.7-mRNA-1	29760.VIT_16s0022g02010.t01	3,00E-258	848.0	ACS12	GO:0003674,GO:0003824,GO:0004069,GO:0006082,GO:0006520,GO:0006807,GO:0008150,GO:0008152,GO:0008483,GO:0008793,GO:0009987,GO:0016740,GO:0016769,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044710,GO:0071704,GO:1901564	K12734,K14270		virNOG[6]	1BFP8@strNOG,1DTM7@virNOG,COG0436@NOG,KOG0256@euNOG	1DTM7|2e-270|898.9	T	Aminotransferase
augustus_masked-NW_019167827.1-processed-gene-70.5-mRNA-1	29760.VIT_16s0022g02030.t01	2.7e-228	749.2		GO:0000003,GO:0003006,GO:0005575,GO:0007275,GO:0008150,GO:0008544,GO:0009553,GO:0009653,GO:0009791,GO:0009886,GO:0009888,GO:0009908,GO:0010016,GO:0010103,GO:0010374,GO:0016020,GO:0022414,GO:0032501,GO:0032502,GO:0035670,GO:0043588,GO:0044699,GO:0044707,GO:0044767,GO:0048229,GO:0048367,GO:0048437,GO:0048438,GO:0048440,GO:0048467,GO:0048481,GO:0048513,GO:0048569,GO:0048608,GO:0048731,GO:0048827,GO:0048856,GO:0061458			virNOG[6]	0IFET@euNOG,1BIDY@strNOG,1DWAQ@virNOG,COG0515@NOG,COG4886@NOG	1DWAQ|2.3e-211|705.4	T	LRR receptor-like serine threonine-protein kinase
augustus_masked-NW_019167827.1-processed-gene-70.3-mRNA-1	3847.GLYMA10G38720.2	1.4e-52	168.3		GO:0002252,GO:0002376,GO:0002679,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0008152,GO:0008219,GO:0008270,GO:0009607,GO:0009617,GO:0009620,GO:0009626,GO:0009814,GO:0009816,GO:0009817,GO:0009987,GO:0010468,GO:0010608,GO:0012501,GO:0016265,GO:0019222,GO:0031072,GO:0031647,GO:0033554,GO:0034050,GO:0042742,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0045087,GO:0045730,GO:0046872,GO:0046914,GO:0050789,GO:0050821,GO:0050832,GO:0050896,GO:0051704,GO:0051707,GO:0051716,GO:0051879,GO:0060255,GO:0065007,GO:0065008	K13458		virNOG[6]	0XPV6@NOG,1BI8W@strNOG,1DW5V@virNOG,KOG1667@euNOG	1DW5V|1.5e-36|127.8	S	cysteine and histidine-rich domain-containing protein
augustus_masked-NW_019167827.1-processed-gene-70.0-mRNA-1	29760.VIT_16s0022g02110.t01	0.0	1031.7		GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016070,GO:0017151,GO:0019899,GO:0031974,GO:0031981,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0070013,GO:0071704,GO:0090304,GO:1901360	K16911		virNOG[6]	1BFUE@strNOG,1DXVI@virNOG,COG0513@NOG,KOG0331@euNOG	1DXVI|0.0|1093.9	A	RNA helicase
augustus_masked-NW_019167827.1-processed-gene-70.12-mRNA-1	3694.POPTR_0012s14310.1	2,00E-250	820.9					virNOG[6]	0IFHJ@euNOG,0YB4X@NOG,1BJ0D@strNOG,1DWXT@virNOG	1DWXT|2.1e-230|766.2	S	Domain of unknown function (DUF3475)
augustus_masked-NW_019167827.1-processed-gene-70.10-mRNA-1	29760.VIT_02s0025g04960.t01	3.8e-83	270.1					virNOG[6]	0IFR2@euNOG,0YBRP@NOG,1BQ5G@strNOG,1E1ZI@virNOG	1E1ZI|7.6e-98|329.7	S	Cell cycle regulated microtubule associated protein
augustus_masked-NW_019167827.1-processed-gene-70.1-mRNA-1	3847.GLYMA10G38690.1	4.9e-58	185.0		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0016020,GO:0031090,GO:0031224,GO:0031225,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464			virNOG[6]	0IYUA@euNOG,0YRBB@NOG,1BRTK@strNOG,1E3NE@virNOG	1E3NE|1.2e-59|201.9	S	Embryo-specific protein 3, (ATS3)
augustus_masked-NW_019167827.1-processed-gene-70.13-mRNA-1	29760.VIT_16s0022g01840.t01	4,00E-27	85.7		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009579,GO:0009941,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464			virNOG[6]	0IWDY@euNOG,1BRGN@strNOG,1E3B6@virNOG,COG0542@NOG	1E3B6|1.5e-25|91.3	O	clp protease-related protein At4g12060, chloroplastic-like
augustus_masked-NW_019167827.1-processed-gene-71.8-mRNA-1	4113.PGSC0003DMT400012194	0.0	1534.6		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	K00512		virNOG[6]	1BCZJ@strNOG,1DQX6@virNOG,COG2124@NOG,KOG0156@euNOG	1DQX6|5.6e-229|764.2	Q	cytochrome P450
augustus_masked-NW_019167827.1-processed-gene-71.9-mRNA-1	3694.POPTR_0012s14490.1	7.3e-205	671.0		GO:0005575,GO:0005618,GO:0005623,GO:0005911,GO:0008150,GO:0009505,GO:0009506,GO:0009628,GO:0030054,GO:0030312,GO:0044464,GO:0050896,GO:0055044,GO:0071944,GO:0080167			virNOG[6]	0IEYC@euNOG,0Y43B@NOG,1BGXM@strNOG,1DSZ5@virNOG	1DSZ5|3.2e-177|589.7	S	phosphate-induced protein 1 conserved region domain containing protein, expressed
augustus_masked-NW_019167827.1-processed-gene-71.0-mRNA-1	29760.VIT_16s0022g01810.t01	1.6e-128	417.3					virNOG[6]	0IVPM@euNOG,0YFD3@NOG,1BMJU@strNOG,1DZE3@virNOG	1DZE3|1.4e-143|479.8	S	Domain of unknown function (DUF296)
augustus_masked-NW_019167827.1-processed-gene-71.5-mRNA-1	4081.Solyc01g091220.2.1	2.6e-93	304.1	RPS13	GO:0000902,GO:0000904,GO:0000910,GO:0000911,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005783,GO:0005829,GO:0005840,GO:0006412,GO:0007049,GO:0007275,GO:0008150,GO:0008152,GO:0008544,GO:0009058,GO:0009059,GO:0009507,GO:0009536,GO:0009653,GO:0009887,GO:0009888,GO:0009913,GO:0009965,GO:0009987,GO:0010016,GO:0010026,GO:0010090,GO:0010467,GO:0015935,GO:0016020,GO:0016043,GO:0019538,GO:0022402,GO:0022626,GO:0022627,GO:0030154,GO:0030312,GO:0030529,GO:0030855,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032989,GO:0032991,GO:0034645,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043588,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0044767,GO:0048366,GO:0048367,GO:0048468,GO:0048513,GO:0048731,GO:0048827,GO:0048856,GO:0048869,GO:0051301,GO:0060429,GO:0070013,GO:0071704,GO:0071840,GO:0071944,GO:1901576	K02953		virNOG[6]	1BE30@strNOG,1DS0R@virNOG,COG0184@NOG,KOG0400@euNOG	1DS0R|5.6e-90|299.9	J	ribosomal protein
augustus_masked-NW_019167827.1-processed-gene-71.6-mRNA-1	3694.POPTR_0015s14500.1	9.2e-93	300.9		GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464	K05019		virNOG[6]	11R94@NOG,1BPHF@strNOG,1E1BT@virNOG,KOG3238@euNOG	1E1BT|1.9e-77|260.7	P	nucleotide-sensitive chloride conductance regulator
augustus_masked-NW_019167827.1-processed-gene-71.4-mRNA-1	3694.POPTR_0012s14410.1	6.6e-114	368.5					virNOG[6]	0IWGK@euNOG,0YI2I@NOG,1BRI6@strNOG,1E3CM@virNOG	1E3CM|1.3e-110|369.5	S	Protein of unknown function (DUF1442)
augustus_masked-NW_019167827.1-processed-gene-71.7-mRNA-1	4113.PGSC0003DMT400012194	4.8e-114	368.6		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	K00512		virNOG[6]	1BCZJ@strNOG,1DQX6@virNOG,COG2124@NOG,KOG0156@euNOG	1DQX6|3.1e-51|175.3	Q	cytochrome P450
augustus_masked-NW_019167827.1-processed-gene-71.10-mRNA-1	3694.POPTR_0012s14430.1	2.1e-284	935.9					virNOG[6]	0IEMP@euNOG,11HDQ@NOG,1BGGV@strNOG,1DRNY@virNOG	1DRNY|1.4e-257|857.5	T	Leucine-rich repeat
augustus_masked-NW_019167827.1-processed-gene-71.2-mRNA-1	3847.GLYMA20G37750.1	4.2e-137	447.5		GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0070013	K14823		virNOG[6]	0YYHN@NOG,1BH8P@strNOG,1DWIT@virNOG,KOG3080@euNOG	1DWIT|9.7e-132|439.7	A	rRNA-processing protein EBP2
augustus_masked-NW_019167827.1-processed-gene-71.1-mRNA-1	3694.POPTR_0012s14360.1	2,00E-22	68.1					virNOG[6]	0JS1N@euNOG,11CTV@NOG,1C49N@strNOG,1EHSS@virNOG	1EHSS|4.8e-24|86.3	S	NA
augustus_masked-NW_019167827.1-processed-gene-71.12-mRNA-1	29760.VIT_16s0022g01460.t01	5.4e-81	260.3	RPS20	GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0005840,GO:0005911,GO:0009506,GO:0015935,GO:0016020,GO:0022626,GO:0022627,GO:0030054,GO:0030312,GO:0030529,GO:0031974,GO:0031981,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0055044,GO:0070013,GO:0071944	K02969		virNOG[6]	1BS84@strNOG,1E439@virNOG,COG0051@NOG,KOG0900@euNOG	1E439|8.1e-81|271.4	J	40s ribosomal protein
augustus_masked-NW_019167827.1-processed-gene-71.13-mRNA-1	29760.VIT_16s0022g01420.t01	6.8e-27	83.8		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0006461,GO:0008150,GO:0008152,GO:0009507,GO:0009534,GO:0009536,GO:0009579,GO:0009987,GO:0010207,GO:0015979,GO:0016020,GO:0016043,GO:0019684,GO:0022607,GO:0031976,GO:0031984,GO:0034357,GO:0034622,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043623,GO:0043933,GO:0044085,GO:0044237,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0065003,GO:0070271,GO:0071822,GO:0071840			virNOG[6]	0IU1G@euNOG,0YS92@NOG,1C7P6@strNOG,1EMM2@virNOG	1EMM2|3e-28|100.4	O	NA
augustus_masked-NW_019167827.1-processed-gene-71.3-mRNA-1	3694.POPTR_0012s14380.1	4.4e-22	68.1		GO:0000412,GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005488,GO:0005515,GO:0005527,GO:0005528,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006323,GO:0006325,GO:0006333,GO:0006334,GO:0006464,GO:0006725,GO:0006807,GO:0006996,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016043,GO:0016568,GO:0016569,GO:0016570,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0022607,GO:0031497,GO:0031974,GO:0031981,GO:0034622,GO:0034641,GO:0034728,GO:0036211,GO:0042393,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044763,GO:0046483,GO:0051276,GO:0065003,GO:0065004,GO:0070013,GO:0071103,GO:0071704,GO:0071824,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363	K14826		virNOG[6]	1BMXB@strNOG,1DZRP@virNOG,COG0545@NOG,KOG0552@euNOG	1DZRP|9.3e-22|78.8	O	Peptidyl-prolyl cis-trans isomerase
augustus_masked-NW_019167827.1-processed-gene-72.3-mRNA-1	3694.POPTR_0012s14530.1	1.1e-164	540.3		GO:0000902,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009653,GO:0009826,GO:0009987,GO:0016043,GO:0016049,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0032502,GO:0032989,GO:0036211,GO:0040007,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044699,GO:0044763,GO:0044767,GO:0048589,GO:0048856,GO:0048869,GO:0060560,GO:0071704,GO:0071840	K08789,K12767		virNOG[6]	0XPWX@NOG,1BHIB@strNOG,1DVE2@virNOG,KOG0606@euNOG	1DVE2|8.1e-118|396.1	T	S_TKc
augustus_masked-NW_019167827.1-processed-gene-72.4-mRNA-1	3847.GLYMA12G00670.1	2,00E-77	250.7		GO:0000902,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009653,GO:0009826,GO:0009987,GO:0016043,GO:0016049,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0032502,GO:0032989,GO:0036211,GO:0040007,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044699,GO:0044763,GO:0044767,GO:0048589,GO:0048856,GO:0048869,GO:0060560,GO:0071704,GO:0071840	K08789,K12767		virNOG[6]	0XPWX@NOG,1BHIB@strNOG,1DVE2@virNOG,KOG0606@euNOG	1DVE2|8.1e-90|303.4	T	S_TKc
augustus_masked-NW_019167827.1-processed-gene-72.5-mRNA-1	3694.POPTR_0012s14540.1	5.7e-119	388.0			K09422		virNOG[6]	1BEE4@strNOG,1DSC0@virNOG,COG5147@NOG,KOG0048@euNOG	1DSC0|3.3e-116|389.0	K	myb domain protein
augustus_masked-NW_019167827.1-processed-gene-72.0-mRNA-1	3702.AT5G51545.1	1.5e-40	127.6		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0006461,GO:0008150,GO:0008152,GO:0009507,GO:0009534,GO:0009536,GO:0009579,GO:0009987,GO:0010207,GO:0015979,GO:0016020,GO:0016043,GO:0019684,GO:0022607,GO:0031976,GO:0031984,GO:0034357,GO:0034622,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043623,GO:0043933,GO:0044085,GO:0044237,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0065003,GO:0070271,GO:0071822,GO:0071840			virNOG[6]	0C8EE@braNOG,0IU1G@euNOG,0YS92@NOG,1C7P6@strNOG,1EMM2@virNOG	1EMM2|9.3e-36|124.9	O	NA
augustus_masked-NW_019167827.1-processed-gene-72.1-mRNA-1	29760.VIT_16s0022g01280.t01	8.5e-27	83.5			K01410		virNOG[6]	1BHAU@strNOG,1DV70@virNOG,COG0339@NOG,KOG2090@euNOG	1DV70|1.8e-19|70.3	O	mitochondrial intermediate
augustus_masked-NW_019167827.1-processed-gene-73.3-mRNA-1	3694.POPTR_0012s05590.1	3.9e-294	968.3		GO:0003674,GO:0005085,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005851,GO:0006417,GO:0006446,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0017148,GO:0019222,GO:0030234,GO:0030695,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0032991,GO:0043234,GO:0044424,GO:0044444,GO:0044464,GO:0045947,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0051246,GO:0051248,GO:0060255,GO:0060589,GO:0065007,GO:0065009,GO:0080090,GO:2000112,GO:2000113	K03680		virNOG[6]	1BHUK@strNOG,1DVQS@virNOG,COG1184@NOG,KOG1467@euNOG	1DVQS|2.5e-279|929.1	J	translation Initiation Factor
augustus_masked-NW_019167827.1-processed-gene-73.0-mRNA-1	3694.POPTR_0012s05570.1	8.8e-83	267.6					virNOG[6]	0IY6Q@euNOG,0YRDM@NOG,1BSPT@strNOG,1E4IS@virNOG	1E4IS|1.4e-92|309.4	S	Universal stress protein
augustus_masked-NW_019167827.1-processed-gene-73.2-mRNA-1	3847.GLYMA05G07875.1	5.4e-94	301.2					virNOG[6]	0IRA2@euNOG,0XSI7@NOG,1C772@strNOG,1EM4A@virNOG	1EM4A|4.1e-97|327.1	L	ZnF_BED
augustus_masked-NW_019167827.1-processed-gene-73.5-mRNA-1	3694.POPTR_0006s22000.1	2.6e-48	156.2					virNOG[6]	0IIW7@euNOG,102Z7@NOG,1BCQZ@strNOG,1DQNU@virNOG	1DQNU|5.4e-42|144.8	T	receptor protein kinase
augustus_masked-NW_019167827.1-processed-gene-73.6-mRNA-1	3694.POPTR_0012s05610.1	8,00E-53	168.2					virNOG[6]	0J51F@euNOG,0Y32D@NOG,1BW1Q@strNOG,1E84Y@virNOG	1E84Y|2.5e-56|191.1	S	NA
augustus_masked-NW_019167827.1-processed-gene-74.1-mRNA-1	29760.VIT_17s0000g04200.t01	3.2e-94	306.1		GO:0005575,GO:0005911,GO:0009506,GO:0030054,GO:0055044	K03128		virNOG[6]	0XS52@NOG,1BHRZ@strNOG,1DVNI@virNOG,KOG1932@euNOG	1DVNI|4.3e-78|264.2	K	transcription initiation factor TFIID subunit 2-like
augustus_masked-NW_019167827.1-processed-gene-74.2-mRNA-1	29760.VIT_17s0000g04200.t01	1.3e-31	100.3		GO:0005575,GO:0005911,GO:0009506,GO:0030054,GO:0055044	K03128		virNOG[6]	0XS52@NOG,1BHRZ@strNOG,1DVNI@virNOG,KOG1932@euNOG	1DVNI|1.9e-15|56.7	K	transcription initiation factor TFIID subunit 2-like
augustus_masked-NW_019167827.1-processed-gene-74.5-mRNA-1	29760.VIT_17s0000g04180.t01	2.3e-88	285.2					virNOG[6]	0JC20@euNOG,0Z0VC@NOG,1BSFF@strNOG,1E4AJ@virNOG	1E4AJ|1.6e-113|380.7	K	TCP family transcription factor
augustus_masked-NW_019167827.1-processed-gene-75.2-mRNA-1	3847.GLYMA17G13040.1	6.7e-193	627.5					virNOG[6]	0JRXR@euNOG,0XSFH@NOG,1C67A@strNOG,1EK5F@virNOG	1EK5F|5.5e-197|656.1	O	Transmembrane Fragile-X-F protein 
augustus_masked-NW_019167827.1-processed-gene-75.1-mRNA-1	4555.Si034756m	4.5e-47	148.7					virNOG[6]	0TQ2V@lilNOG,11S1X@NOG,15KU6@poaNOG,1BE5M@strNOG,1DWCH@virNOG,KOG1100@euNOG	1DWCH|1e-49|170.4	O	Transmembrane Fragile-X-F protein 
augustus_masked-NW_019167827.1-processed-gene-76.0-mRNA-1	3694.POPTR_0015s03360.1	6.3e-64	201.3			K13081		virNOG[6]	0JAG3@euNOG,0YEHW@NOG,1C0EQ@strNOG,1ED7B@virNOG	1ED7B|3.4e-64|218.0	G	NmrA-like family
augustus_masked-NW_019167827.1-processed-gene-76.1-mRNA-1	3694.POPTR_0015s03360.1	3.4e-58	181.9			K13081		virNOG[6]	0JAG3@euNOG,0YEHW@NOG,1C0EQ@strNOG,1ED7B@virNOG	1ED7B|1.2e-58|199.7	G	NmrA-like family
augustus_masked-NW_019167827.1-processed-gene-77.1-mRNA-1	29760.VIT_08s0007g02110.t01	1.9e-79	259.2	OSI_02229		K04730		virNOG[6]	0IH5R@euNOG,1BETQ@strNOG,1DSRA@virNOG,COG0515@NOG,COG4886@NOG	1DSRA|1.7e-30|106.6	T	LRR receptor-like serine threonine-protein kinase
augustus_masked-NW_019167827.1-processed-gene-78.3-mRNA-1	3694.POPTR_0015s06470.1	1.3e-38	121.2					virNOG[6]	0JGVW@euNOG,0Z0KN@NOG,1BUPQ@strNOG,1E6MQ@virNOG	1E6MQ|1.5e-46|160.1	K	AP2 domain
augustus_masked-NW_019167827.1-processed-gene-78.4-mRNA-1	3847.GLYMA08G04560.1	2.6e-61	194.6					virNOG[6]	0J9WQ@euNOG,118HN@NOG,1C0I2@strNOG,1EDB1@virNOG	1EDB1|1.3e-65|222.7	S	LysM
